(Parent) ASIN,(Child) ASIN,Title,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B00NB9NB44,B01NASZ26H,"Southern Marsh Women’s Rebecca Long Sleeve T-Shirt, Jersey Shirts, Melon with Blue, X-Small",6,0,0.02%,0.00%,10,0,0.03%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MZ91M4Y,B01NAUMP5G,"Southern Marsh Savannah Lounge Pant - Mint Julep & Horseshoes, Light Blue, X-Large",3,0,0.01%,0.00%,5,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUADU6S,B01NB0BIY4,Southern Marsh Regatta Shorts 8 Khaki,7,0,0.03%,0.00%,7,0,0.02%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N1NB2M0,B01NBFMG63,"Southern Marsh Hanover Boxer - Mint Julep & Horseshoes, Light Blue, X-Small",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09GTXKG3C,B01NBVXD3S,"Southern Marsh Dockside Swim Trunk, Red White and Blue, X-Small",3,0,0.01%,0.00%,4,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B09GTXKG3C,B01NBW4XQS,"Southern Marsh Dockside Swim Trunks, Red, Large",9,0,0.04%,0.00%,9,0,0.03%,0.00%,77.78%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01N4R80O4,B01NBXZHZ5,"LS Expedition Series Marlin,Teal,Small",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06XS1SZ19,B01NBXZNJ0,"Southern Marsh Men's FieldTec T-Shirt, Short Sleeve Tee, Bimini Green with Peach, Small",3,0,0.01%,0.00%,4,0,0.01%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUADU6S,B01NC1XST4,Southern Marsh Regatta Shorts 8 Khaki,4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B0DP5VBZL5,B01NCEI7PO,"Southern Marsh Men's Stewart Pocket Gingham T-Shirt, Short Sleeve Tee, Red with Navy, Large",2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00UVV7E34,B01NCF2FXP,Southern Marsh Regatta Shorts - 6 Flat,2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01BNV8HSQ,B01NCFG7V0,"Southern Marsh Men's Belfort Oxford Dress Shirts, Long Sleeve Shirt, Blue & Mint, Medium",7,0,0.03%,0.00%,9,0,0.03%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00UVV7E34,B01NCXKB6R,Southern Marsh Regatta Shorts - 6 Flat,2,0,0.01%,0.00%,2,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01BNV7JTE,B01NGZ4M6H,"Ls Expedition Series - Flag, Bluestone, Small",1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUADU6S,B06W9JMDZY,Southern Marsh Regatta Shorts 8,1,0,0.00%,0.00%,1,0,0.00%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B089RTD25T,B06WGM1WSF,"Southern Marsh Regatta Shorts 8 - Flat, Light Blue, 36",4,0,0.02%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06WLHVKVJ,B06WLHVKVJ,Southern Marsh Youth's Authentic T-Shirt – Short Sleeve Casual Graphic Tee,38,0,0.16%,0.00%,63,0,0.21%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00NBJSYLY,B06WWGKMXP,"Tarpon Flats Fishing Short, X-Small, Khaki",3,0,0.01%,0.00%,4,0,0.01%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B00OIREE9E,B06WWHQKCT,"Southern Marsh Men's Oyster Festival T-Shirt, Short Sleeve Tee, Red, Small",21,0,0.09%,0.00%,23,0,0.08%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B01MUADU6S,B06X19BBVF,Southern Marsh Regatta Shorts 8,1,0,0.00%,0.00%,1,0,0.00%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B014Q48QT2,B06X9D9MXF,"Southern Marsh Men's Cumberland Plaid Dress Shirts, Long Sleeve Shirt, Burnt and Blue, Small",14,0,0.06%,0.00%,18,0,0.06%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
B06WLHVKVJ,B06XBT25TQ,"Southern Marsh Youth’s Authentic T-Shirts, Short Sleeve Shirts, Midnight Gray, Small",26,0,0.11%,0.00%,27,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,$0.00,$0.00,0,0
